,0
0,tea
1,"herbs, spices & seasonings"
2,baby formula
3,"cooking oils, vinegars & sprays"
4,coffee
5,sugar substitutes
6,"syrups, sugars & sweeteners"
7,nuts & seeds
8,breakfast & cereal bars
9,"jams, jellies & sweet spreads"
10,chewing gum
11,soda syrups
12,meal replacement drinks
13,fruit leather
14,fruit
15,popcorn
16,leaveners & yeasts
17,"frosting, icing & decorations"
18,powdered drink mixes
19,flours & meals
20,packaged meals & side dishes
21,hot cocoa
22,canned & jarred food
23,fruit snacks
24,cereals
25,pudding & gelatin
26,beverages
27,assortments
28,food coloring
29,granola & trail mix bars
30,energy drinks
31,caramels
32,crackers
33,soft drinks
34,cookies
35,party mix
36,water
37,juices
38,baking mixes
39,"condiments, pickles & relishes"
40,"sauces, gravies & marinades"
41,pasta & noodles
42,halva
43,applesauce & fruit cups
44,gummy candy
45,chips & crisps
46,"baking chocolates, carob & cocoa"
47,ginger candy
48,sports drinks
49,hard candy
50,licorice
51,live indoor plants
52,jerky & dried meats
53,"rice cakes, chips & crackers"
54,bars
55,pretzels
